Title,Trim,Location,Distance,MSRP,Price,Monthly Payment,Source File
2025 Subaru Impreza,RS AWD,"Englewood, NJ",6 mi away,"$30,848","$29,451",$552/mo est.,New Cars (24).mhtml
2025 Nissan Altima,2.5 SV FWD,"Blackwood, NJ",95 mi away,"$32,325","$29,452",$552/mo est.,New Cars (24).mhtml
2025 Nissan Altima,2.5 SV FWD,"Blackwood, NJ",95 mi away,"$32,325","$29,452",$552/mo est.,New Cars (24).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Keyport, NJ",31 mi away,"$34,040","$29,453",$552/mo est.,New Cars (24).mhtml
2025 Ford Bronco Sport,Heritage AWD,"Sunbury, PA",150 mi away,"$36,955","$29,455",$552/mo est.,New Cars (24).mhtml
2025 Hyundai Santa Cruz,SE Crew Cab AWD,"Schenectady, NY",135 mi away,"$32,170","$29,455",$552/mo est.,New Cars (25).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Burnt Hills, NY",145 mi away,"$29,965","$29,463",$552/mo est.,New Cars (25).mhtml
2025 Hyundai Elantra,N Line FWD,"Willow Grove, PA",79 mi away,"$30,780","$29,464",$552/mo est.,New Cars (25).mhtml
2025 Ford Escape,ST-Line AWD,"Vauxhall, NJ",21 mi away,"$36,465","$29,465",$552/mo est.,New Cars (25).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,225","$29,475",$553/mo est.,New Cars (25).mhtml
2025 Buick Envista,Sport Touring FWD,"Woodbury, NJ",95 mi away,"$29,475","$29,475",$553/mo est.,New Cars (25).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Mohegan Lake, NY",35 mi away,"$33,995","$29,475",$553/mo est.,New Cars (25).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Mohegan Lake, NY",35 mi away,"$33,995","$29,475",$553/mo est.,New Cars (25).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Mechanicsburg, PA",167 mi away,"$34,685","$29,485",$553/mo est.,New Cars (25).mhtml
2025 Volkswagen Taos,S 4Motion,"Paramus, NJ",10 mi away,"$29,486","$29,486",$553/mo est.,New Cars (25).mhtml
2025 Chevrolet Trailblazer,LT AWD,"Muncy, PA",158 mi away,"$31,610","$29,488",$553/mo est.,New Cars (25).mhtml
2025 Honda Accord,LX FWD,"Toms River, NJ",61 mi away,"$29,490","$29,490",$553/mo est.,New Cars (25).mhtml
2025 Honda Accord,LX FWD,"Hanover, MA",184 mi away,"$29,490","$29,490",$553/mo est.,New Cars (25).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Chester, PA",103 mi away,"$31,490","$29,490",$553/mo est.,New Cars (25).mhtml
2025 Ford Bronco Sport,Outer Banks AWD,"Jersey City, NJ",12 mi away,"$33,990","$29,490",$553/mo est.,New Cars (25).mhtml
2025 Nissan Rogue,SV AWD,"Hainesport, NJ",74 mi away,"$35,470","$29,490",$553/mo est.,New Cars (25).mhtml
2025 Volkswagen Taos,S 4Motion,"Norristown, PA",90 mi away,"$29,495","$29,495",$553/mo est.,New Cars (25).mhtml
2025 Nissan Altima,2.5 SR FWD,"Old Saybrook, CT",87 mi away,"$34,430","$29,495",$553/mo est.,New Cars (25).mhtml
2025 Ford Escape Hybrid Plug-in,FWD,"Chester, PA",103 mi away,"$40,550","$29,495",$553/mo est.,New Cars (25).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Huntington, NY",26 mi away,"$34,270","$29,498",$553/mo est.,New Cars (25).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Stratford, CT",49 mi away,,"$29,498",$553/mo est.,New Cars (25).mhtml
2024 Ford Escape,Active AWD,"Woodside, NY",5 mi away,"$38,585","$29,499",$557/mo est.,New Cars (25).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Philadelphia, PA",78 mi away,"$37,480","$29,499",$553/mo est.,New Cars (26).mhtml
2025 Ford Escape,Active AWD,"Rising Sun, MD",134 mi away,"$38,515","$29,500",$553/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Rising Sun, MD",134 mi away,"$34,280","$29,500",$553/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Rising Sun, MD",134 mi away,"$34,405","$29,500",$553/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Albany, NY",129 mi away,"$34,040","$29,500",$553/mo est.,New Cars (26).mhtml
2025 Volkswagen Taos,SE Black 4Motion,"Doylestown, PA",72 mi away,"$34,937","$29,506",$553/mo est.,New Cars (26).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Denville, NJ",31 mi away,"$31,785","$29,513",$553/mo est.,New Cars (26).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,520","$29,520",$553/mo est.,New Cars (26).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,520","$29,520",$553/mo est.,New Cars (26).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,520","$29,520",$553/mo est.,New Cars (26).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,520","$29,520",$553/mo est.,New Cars (26).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,520","$29,520",$553/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Hanover, PA",176 mi away,"$33,140","$29,521",$553/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Glen Burnie, MD",182 mi away,"$35,980","$29,522",$553/mo est.,New Cars (26).mhtml
2024 Hyundai Sonata Hybrid,SEL FWD,"Hicksville, NY",22 mi away,"$32,530","$29,530",$558/mo est.,New Cars (26).mhtml
2025 Honda Accord,LX FWD,"Westminster, MD",183 mi away,"$29,945","$29,533",$554/mo est.,New Cars (26).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Middle River, MD",167 mi away,"$34,685","$29,535",$554/mo est.,New Cars (26).mhtml
2025 Chevrolet Trailblazer,RS FWD,"Philadelphia, PA",95 mi away,"$31,270","$29,535",$554/mo est.,New Cars (26).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Denville, NJ",31 mi away,"$31,785","$29,535",$554/mo est.,New Cars (26).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Philadelphia, PA",80 mi away,"$29,540","$29,540",$554/mo est.,New Cars (26).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Philadelphia, PA",80 mi away,"$29,540","$29,540",$554/mo est.,New Cars (26).mhtml
2025 Hyundai Sonata Hybrid,SEL FWD,"Salem, NH",193 mi away,"$29,540","$29,540",$554/mo est.,New Cars (26).mhtml
2025 Nissan Sentra,SR FWD,"Milford, CT",51 mi away,"$29,275","$29,540",$554/mo est.,New Cars (27).mhtml
2025 Subaru Impreza,RS AWD,"Pleasantville, NJ",104 mi away,"$33,175","$29,540",$554/mo est.,New Cars (27).mhtml
2025 Kia Sportage Hybrid,LX AWD,"Lynn, MA",190 mi away,"$32,630","$29,550",$554/mo est.,New Cars (27).mhtml
2025 Jeep Grand Cherokee,Laredo X 4WD,"Baltimore, MD",184 mi away,"$44,170","$29,561",$554/mo est.,New Cars (27).mhtml
2025 Jeep Grand Cherokee,Laredo X 4WD,"Baltimore, MD",184 mi away,"$44,170","$29,561",$554/mo est.,New Cars (27).mhtml
2025 Jeep Grand Cherokee,Laredo X 4WD,"Baltimore, MD",184 mi away,"$44,170","$29,561",$554/mo est.,New Cars (27).mhtml
2025 Jeep Grand Cherokee,Laredo X 4WD,"Baltimore, MD",184 mi away,"$44,170","$29,561",$554/mo est.,New Cars (27).mhtml
2025 Jeep Grand Cherokee,Laredo X 4WD,"Baltimore, MD",184 mi away,"$44,170","$29,561",$554/mo est.,New Cars (27).mhtml
2025 Subaru Legacy,Premium AWD,"Philadelphia, PA",91 mi away,"$33,837","$29,563",$554/mo est.,New Cars (27).mhtml
2025 Subaru Legacy,Premium AWD,"Leesport, PA",110 mi away,"$31,280","$29,567",$554/mo est.,New Cars (27).mhtml
2025 Subaru Legacy,Premium AWD,"Leesport, PA",110 mi away,"$31,280","$29,567",$554/mo est.,New Cars (27).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Watertown, CT",67 mi away,"$32,330","$29,580",$554/mo est.,New Cars (27).mhtml
2025 Hyundai Kona,SEL AWD,"Downingtown, PA",111 mi away,"$29,584","$29,584",$555/mo est.,New Cars (27).mhtml
2025 Mazda CX-30,2.5 S Preferred AWD,"Rensselaer, NY",128 mi away,"$31,420","$29,585",$555/mo est.,New Cars (27).mhtml
2025 Nissan Sentra,SR FWD,"Hainesport, NJ",74 mi away,"$29,585","$29,585",$555/mo est.,New Cars (27).mhtml
2025 Hyundai Elantra Hybrid,Limited FWD,"Milford, CT",51 mi away,"$32,105","$29,605",$555/mo est.,New Cars (27).mhtml
2025 Nissan Altima,2.5 SR FWD,"Flemington, NJ",53 mi away,"$34,160","$29,612",$555/mo est.,New Cars (27).mhtml
2024 Ford Maverick,XL SuperCrew FWD,"Plymouth, MA",185 mi away,"$29,615","$29,615",$559/mo est.,New Cars (27).mhtml
2025 Nissan Kicks,SR AWD,"Medford, MA",182 mi away,"$33,615","$29,615",$555/mo est.,New Cars (27).mhtml
2025 Nissan Altima,2.5 SR AWD,"Totowa, NJ",17 mi away,"$33,115","$29,616",$555/mo est.,New Cars (27).mhtml
2025 Ford Maverick,XL SuperCrew FWD,"Columbia, CT",105 mi away,"$30,020","$29,618",$555/mo est.,New Cars (27).mhtml
2025 Ford Maverick,XL SuperCrew FWD,"Columbia, CT",105 mi away,"$30,020","$29,618",$555/mo est.,New Cars (27).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Glastonbury, CT",92 mi away,"$35,525","$29,620",$555/mo est.,New Cars (28).mhtml
2025 Hyundai Kona,SEL AWD,"Downingtown, PA",111 mi away,"$29,620","$29,620",$555/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Jersey City, NJ",12 mi away,"$26,595","$29,625",$555/mo est.,New Cars (28).mhtml
2025 Hyundai Sonata,SEL FWD,"Auburn, MA",142 mi away,"$29,625","$29,625",$555/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,625",$555/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,625",$555/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,625",$555/mo est.,New Cars (28).mhtml
2025 Ford Escape,Active AWD,"Staten Island, NY",23 mi away,"$34,875","$29,627",$555/mo est.,New Cars (28).mhtml
2025 Nissan Kicks,SR AWD,"White Marsh, MD",167 mi away,"$32,110","$29,628",$555/mo est.,New Cars (28).mhtml
2025 Nissan Rogue,SV AWD,"St James, NY",41 mi away,"$33,295","$29,633",$555/mo est.,New Cars (28).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Newark, DE",124 mi away,"$29,635","$29,635",$555/mo est.,New Cars (28).mhtml
2025 Nissan Altima,2.5 SV AWD,"Schenectady, NY",134 mi away,"$32,660","$29,635",$555/mo est.,New Cars (28).mhtml
2025 Hyundai Sonata,SEL FWD,"Freehold, NJ",43 mi away,"$29,635","$29,635",$555/mo est.,New Cars (28).mhtml
2025 Subaru Legacy,Premium AWD,"Riverhead, NY",65 mi away,"$32,639","$29,639",$556/mo est.,New Cars (28).mhtml
2025 Subaru Legacy,Premium AWD,"Claremont, NH",192 mi away,"$32,517","$29,640",$556/mo est.,New Cars (28).mhtml
2025 Hyundai Elantra Hybrid,Limited FWD,"Milford, CT",51 mi away,"$32,140","$29,640",$556/mo est.,New Cars (28).mhtml
2024 Hyundai Tucson,SE FWD,"Scranton, PA",100 mi away,"$29,655","$29,655",$560/mo est.,New Cars (28).mhtml
2025 Kia Seltos,S AWD,"East Meadow, NY",21 mi away,"$29,655","$29,655",$556/mo est.,New Cars (28).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Mohegan Lake, NY",35 mi away,"$34,182","$29,657",$556/mo est.,New Cars (28).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Newark, DE",124 mi away,"$29,665","$29,665",$556/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,675",$556/mo est.,New Cars (28).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,675",$556/mo est.,New Cars (28).mhtml
2025 Ford Escape Hybrid,ST-Line Select AWD,"Vauxhall, NJ",21 mi away,"$36,680","$29,680",$556/mo est.,New Cars (29).mhtml
2025 Nissan Altima,2.5 SR FWD,"Exton, PA",105 mi away,"$34,685","$29,685",$556/mo est.,New Cars (29).mhtml
2025 Nissan Altima,2.5 SR FWD,"Raynham, MA",168 mi away,"$34,190","$29,694",$557/mo est.,New Cars (29).mhtml
2025 Nissan Rogue,Rock Creek AWD,"North Plainfield, NJ",30 mi away,"$36,850","$29,698",$557/mo est.,New Cars (29).mhtml
2025 Subaru Legacy,Premium AWD,"Riverhead, NY",65 mi away,"$32,704","$29,704",$557/mo est.,New Cars (29).mhtml
2025 Kia Niro EV,Wind FWD,"Jersey City, NJ",12 mi away,"$42,705","$29,705",$557/mo est.,New Cars (29).mhtml
2025 Nissan Kicks,SR AWD,"Hainesport, NJ",74 mi away,"$29,710","$29,710",$557/mo est.,New Cars (29).mhtml
2025 Ford Maverick,XLT SuperCrew AWD,"Vauxhall, NJ",21 mi away,"$32,960","$29,710",$557/mo est.,New Cars (29).mhtml
2025 Nissan Rogue,SV AWD,"St James, NY",41 mi away,"$33,385","$29,713",$557/mo est.,New Cars (29).mhtml
2025 Nissan Sentra,SR FWD,"Amityville, NY",28 mi away,,"$29,725",$557/mo est.,New Cars (29).mhtml
2025 Mitsubishi Outlander Sport,ES AWC,"Danvers, MA",194 mi away,"$29,735","$29,735",$557/mo est.,New Cars (29).mhtml
2025 Kia K4,GT-Line Turbo FWD,"East Hartford, CT",93 mi away,"$32,445","$29,735",$557/mo est.,New Cars (29).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Albany, NY",129 mi away,"$29,735","$29,735",$557/mo est.,New Cars (29).mhtml
2025 Volkswagen Taos,S 4Motion,"Toms River, NJ",61 mi away,"$29,737","$29,737",$557/mo est.,New Cars (29).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Harrisburg, PA",159 mi away,"$29,740","$29,740",$557/mo est.,New Cars (29).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Yorkville, NY",173 mi away,"$29,740","$29,740",$557/mo est.,New Cars (29).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Auburn, MA",142 mi away,"$29,740","$29,740",$557/mo est.,New Cars (29).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Auburn, MA",142 mi away,"$29,740","$29,740",$557/mo est.,New Cars (29).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Auburn, MA",142 mi away,"$29,740","$29,740",$557/mo est.,New Cars (29).mhtml
2025 Volkswagen Tiguan,SE 4Motion,"Watertown, MA",177 mi away,"$36,682","$29,742",$558/mo est.,New Cars (29).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,495","$29,745",$558/mo est.,New Cars (29).mhtml
2024 Honda Civic Hatchback,EX-L FWD,"Pompton Plains, NJ",22 mi away,"$29,745","$29,745",$562/mo est.,New Cars (29).mhtml
2025 Kia K4,GT-Line FWD,"Copiague, NY",28 mi away,"$28,765","$27,515",$516/mo est.,New Cars (3).mhtml
2025 Kia K4,GT-Line FWD,"Copiague, NY",28 mi away,"$28,765","$27,515",$516/mo est.,New Cars (3).mhtml
2025 Kia K4,GT-Line FWD,"Copiague, NY",28 mi away,"$28,765","$27,515",$516/mo est.,New Cars (3).mhtml
2025 Nissan Altima,2.5 SR AWD,"Brockton, MA",171 mi away,"$33,090","$27,516",$516/mo est.,New Cars (3).mhtml
2025 Nissan Altima,2.5 SR FWD,"St James, NY",41 mi away,"$31,270","$27,518",$516/mo est.,New Cars (3).mhtml
2025 Volkswagen Jetta,SE FWD,"Paramus, NJ",10 mi away,"$28,753","$27,528",$516/mo est.,New Cars (3).mhtml
2025 Volkswagen Taos,SE Black 4Motion,"Watertown, MA",177 mi away,"$34,926","$27,536",$516/mo est.,New Cars (3).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Plainfield, CT",120 mi away,"$34,182","$27,546",$516/mo est.,New Cars (3).mhtml
2025 Mazda CX-30,2.5 S Select Sport AWD,"Lowell, MA",185 mi away,"$29,420","$27,553",$517/mo est.,New Cars (3).mhtml
2025 Mazda CX-30,2.5 S AWD,"West Chester, PA",107 mi away,"$27,555","$27,555",$517/mo est.,New Cars (3).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Foxboro, MA",164 mi away,"$30,065","$27,556",$517/mo est.,New Cars (3).mhtml
2025 Kia Sportage,LX AWD,"Baltimore, MD",173 mi away,"$30,935","$27,557",$517/mo est.,New Cars (3).mhtml
2025 Hyundai Elantra,Limited FWD,"Schenectady, NY",135 mi away,"$28,410","$27,558",$517/mo est.,New Cars (3).mhtml
2025 Nissan Kicks,SV AWD,"Hadley, MA",125 mi away,"$29,840","$27,569",$517/mo est.,New Cars (3).mhtml
2025 Hyundai Elantra,Limited FWD,"Jamaica, NY",10 mi away,"$28,580","$27,580",$517/mo est.,New Cars (3).mhtml
2025 Chevrolet Trax,RS with 2RS FWD,"Vernon Rockville, CT",101 mi away,"$27,585","$27,585",$517/mo est.,New Cars (3).mhtml
2025 Mazda CX-30,2.5 S Select Sport AWD,"Morristown, NJ",29 mi away,"$29,590","$27,590",$517/mo est.,New Cars (3).mhtml
2025 Nissan Sentra,SR FWD,"Old Saybrook, CT",87 mi away,"$29,625","$27,595",$517/mo est.,New Cars (3).mhtml
2024 Dodge Hornet,R/T Plus AWD,"Dartmouth, MA",164 mi away,"$52,330","$27,597",$521/mo est.,New Cars (3).mhtml
2025 Kia K4,GT-Line FWD,"Putnam, CT",131 mi away,"$29,060","$27,599",$517/mo est.,New Cars (3).mhtml
2025 Nissan Kicks,SR AWD,"Avenel, NJ",24 mi away,"$32,110","$27,627",$518/mo est.,New Cars (3).mhtml
2025 Buick Encore GX,Preferred AWD,"Poughkeepsie, NY",56 mi away,"$29,635","$27,635",$518/mo est.,New Cars (3).mhtml
2025 Chevrolet Equinox,LT FWD,"Oxford, PA",131 mi away,"$30,530","$29,749",$558/mo est.,New Cars (30).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,505","$29,755",$558/mo est.,New Cars (30).mhtml
2025 Hyundai Kona,SEL AWD,"Brooklyn, NY",15 mi away,"$29,590","$29,765",$558/mo est.,New Cars (30).mhtml
2025 Nissan Kicks,SR AWD,"Hadley, MA",125 mi away,"$31,930","$29,772",$558/mo est.,New Cars (30).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Stamford, CT",25 mi away,"$34,119","$29,777",$558/mo est.,New Cars (30).mhtml
2024 Volkswagen Taos,SE Black 4Motion,"Stamford, CT",25 mi away,"$35,148","$29,777",$562/mo est.,New Cars (30).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Nashua, NH",183 mi away,"$31,970","$29,779",$558/mo est.,New Cars (30).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,530","$29,780",$558/mo est.,New Cars (30).mhtml
2025 Nissan Kicks,SR AWD,"White Marsh, MD",167 mi away,"$32,290","$29,788",$558/mo est.,New Cars (30).mhtml
2025 Nissan Altima,2.5 SR FWD,"Fairless Hills, PA",66 mi away,"$35,045","$29,788",$558/mo est.,New Cars (30).mhtml
2025 Nissan Altima,2.5 SR FWD,"Fairless Hills, PA",66 mi away,"$35,045","$29,788",$558/mo est.,New Cars (30).mhtml
2025 Ford Maverick,XL SuperCrew AWD,"Ambler, PA",82 mi away,"$32,535","$29,788",$558/mo est.,New Cars (30).mhtml
2025 Nissan Kicks,SV AWD,"Ardmore, PA",91 mi away,"$29,790","$29,790",$558/mo est.,New Cars (30).mhtml
2025 Nissan Altima,2.5 SR FWD,"Quincy, MA",181 mi away,"$34,790","$29,790",$558/mo est.,New Cars (30).mhtml
2025 Subaru Legacy,Premium AWD,"Lumberton, NJ",75 mi away,"$32,349","$29,803",$559/mo est.,New Cars (30).mhtml
2025 Kia Seltos,LX AWD,"Hackettstown, NJ",45 mi away,"$26,805","$29,805",$559/mo est.,New Cars (30).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Mechanicsburg, PA",167 mi away,"$34,085","$29,829",$559/mo est.,New Cars (30).mhtml
2025 Volkswagen Tiguan,SE 4Motion,"Nanuet, NY",20 mi away,"$37,087","$29,837",$559/mo est.,New Cars (30).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Mechanicsburg, PA",167 mi away,"$34,100","$29,843",$559/mo est.,New Cars (30).mhtml
2025 Honda Accord,LX FWD,"Westford, MA",176 mi away,"$29,845","$29,845",$559/mo est.,New Cars (30).mhtml
2025 Subaru Crosstrek,Premium AWD,"Glen Burnie, MD",182 mi away,"$31,897","$29,849",$560/mo est.,New Cars (30).mhtml
2025 Nissan Altima,2.5 SR FWD,"Flemington, NJ",53 mi away,"$34,430","$29,852",$560/mo est.,New Cars (30).mhtml
2025 Ford Maverick,XL SuperCrew FWD,"Haverhill, MA",198 mi away,"$30,870","$29,870",$560/mo est.,New Cars (31).mhtml
2025 Hyundai Santa Cruz,SE Crew Cab AWD,"Torrington, CT",81 mi away,"$32,375","$29,875",$560/mo est.,New Cars (31).mhtml
2025 Volkswagen Taos,S 4Motion,"Paramus, NJ",10 mi away,"$29,875","$29,875",$560/mo est.,New Cars (31).mhtml
2025 Mazda CX-30,2.5 S Preferred AWD,"Lowell, MA",185 mi away,"$31,850","$29,876",$560/mo est.,New Cars (31).mhtml
2025 Hyundai Kona,SEL AWD,"Staten Island, NY",18 mi away,"$29,880","$29,880",$560/mo est.,New Cars (31).mhtml
2025 Hyundai Elantra Hybrid,SEL Sport FWD,"Brooklyn, NY",15 mi away,"$29,705","$29,880",$560/mo est.,New Cars (31).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Rensselaer, NY",128 mi away,"$32,740","$29,885",$560/mo est.,New Cars (31).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Lansdale, PA",82 mi away,"$35,990","$29,888",$560/mo est.,New Cars (31).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,640","$29,890",$560/mo est.,New Cars (31).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Washington, NJ",56 mi away,"$33,690","$29,890",$560/mo est.,New Cars (31).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Philadelphia, PA",93 mi away,"$32,785","$29,897",$560/mo est.,New Cars (31).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Denville, NJ",31 mi away,"$32,200","$29,900",$560/mo est.,New Cars (31).mhtml
2025 Nissan Altima,2.5 SR FWD,"Flemington, NJ",53 mi away,"$34,480","$29,902",$560/mo est.,New Cars (31).mhtml
2024 Subaru Impreza,RS AWD,"Shrewsbury, MA",151 mi away,"$29,906","$29,906",$565/mo est.,New Cars (31).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Albany, NY",129 mi away,"$29,910","$29,910",$561/mo est.,New Cars (31).mhtml
2025 Nissan Kicks,SR AWD,"Hainesport, NJ",74 mi away,"$29,935","$29,935",$561/mo est.,New Cars (31).mhtml
2025 Hyundai Santa Cruz,SEL Crew Cab AWD,"Schenectady, NY",135 mi away,"$33,955","$29,936",$561/mo est.,New Cars (31).mhtml
2025 Honda Accord,LX FWD,"Philadelphia, PA",77 mi away,"$29,945","$29,945",$561/mo est.,New Cars (31).mhtml
2025 Mitsubishi Outlander,SE FWD,"Pleasantville, NJ",104 mi away,"$37,465","$29,965",$562/mo est.,New Cars (31).mhtml
2025 Volkswagen Tiguan,S 4Motion,"Easton, PA",72 mi away,"$34,182","$29,972",$562/mo est.,New Cars (31).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Middle River, MD",167 mi away,"$35,180","$29,972",$562/mo est.,New Cars (31).mhtml
2024 Dodge Hornet,R/T Plus AWD,"Wilkes Barre, PA",104 mi away,"$50,085","$29,972",$566/mo est.,New Cars (31).mhtml
2025 Mitsubishi Outlander Sport,SE AWC,"East Petersburg, PA",137 mi away,"$30,975","$29,975",$562/mo est.,New Cars (32).mhtml
2025 Subaru Legacy,Premium AWD,"Hanover, PA",176 mi away,"$31,842","$29,975",$562/mo est.,New Cars (32).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Red Lion, PA",156 mi away,"$34,085","$29,975",$562/mo est.,New Cars (32).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Raynham, MA",169 mi away,"$32,640","$29,976",$562/mo est.,New Cars (32).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Yonkers, NY",9 mi away,"$32,730","$29,980",$562/mo est.,New Cars (32).mhtml
2025 Nissan Altima,2.5 SR AWD,"Queensbury, NY",173 mi away,"$35,980","$29,980",$562/mo est.,New Cars (32).mhtml
2025 Mazda CX-5,2.5 S Select AWD,"Philadelphia, PA",93 mi away,"$32,890","$29,981",$562/mo est.,New Cars (32).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Scranton, PA",99 mi away,"$33,885","$29,985",$562/mo est.,New Cars (32).mhtml
2025 Nissan Altima,2.5 SR FWD,"Bel Air, MD",158 mi away,"$34,430","$29,987",$562/mo est.,New Cars (32).mhtml
2025 Ford Bronco Sport,Heritage AWD,"Willow Street, PA",137 mi away,"$35,990","$29,990",$562/mo est.,New Cars (32).mhtml
2025 Kia K4,GT-Line Turbo FWD,"Jersey City, NJ",12 mi away,"$31,990","$29,990",$562/mo est.,New Cars (32).mhtml
2024 Ford Mustang Mach-E,Select AWD,"Plainville, CT",82 mi away,"$46,990","$29,993",$566/mo est.,New Cars (32).mhtml
2025 Nissan Altima,2.5 SV FWD,"Yorkville, NY",173 mi away,"$31,005","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 FIAT 500e,Giorgio Armani FWD,"New York, NY",5 mi away,"$37,495","$29,995",$562/mo est.,New Cars (32).mhtml
2025 Nissan Altima,2.5 SR FWD,"Warwick, RI",144 mi away,"$32,500","$29,995",$562/mo est.,New Cars (32).mhtml
2025 Subaru Forester,,"Johnstown, NY",152 mi away,"$29,995","$29,995",$562/mo est.,New Cars (32).mhtml
2025 Ford Bronco Sport,Big Bend AWD,"Hanover, PA",176 mi away,"$33,690","$30,058",$563/mo est.,New Cars (33).mhtml
2025 Honda HR-V,Sport AWD,"Wilkes-Barre, PA",104 mi away,"$30,505","$30,058",$563/mo est.,New Cars (33).mhtml
